86,85,84,57,56,56,62,62,60,63,90,82,81,86,86,86,86,74,74,73,76,77,77,78,72,71,70,69,69,69,83,83,90,82,85,64,78,81,81,81,1
90,86,86,56,56,56,63,63,61,63,94,84,83,86,86,86,86,75,75,76,75,75,75,75,71,71,72,73,73,72,0,0,91,0,88,67,79,83,83,83,1
89,87,83,60,60,59,58,59,59,60,91,86,87,84,84,84,84,70,70,70,73,73,74,74,73,74,76,69,69,69,92,0,93,0,88,62,79,81,83,83,1
88,87,85,57,57,57,59,59,60,59,92,83,84,85,85,86,85,69,70,69,72,73,72,72,75,74,76,71,71,71,91,91,91,91,85,63,73,81,81,83,1
86,86,85,56,56,56,53,54,57,54,91,82,82,84,84,83,85,72,72,70,72,72,71,72,81,81,79,71,71,71,92,92,92,0,85,58,74,84,81,86,1
87,0,83,54,54,54,59,59,59,59,90,84,84,83,83,82,83,70,71,71,76,76,77,77,78,78,78,69,69,69,89,89,91,90,83,60,77,81,80,84,1
87,88,85,57,57,57,59,59,58,59,89,85,86,85,85,84,85,70,70,71,75,75,76,75,76,75,74,71,72,72,90,91,90,90,85,62,77,83,83,84,1
86,89,83,56,56,56,61,61,59,61,88,87,88,83,83,83,83,71,71,72,73,73,73,73,72,72,74,70,70,70,0,0,90,0,87,66,78,77,79,80,1
86,89,84,57,57,57,60,60,57,60,85,82,80,81,81,81,81,66,66,66,71,71,71,72,76,76,76,68,68,67,90,90,90,91,83,61,73,79,80,80,1
85,85,84,54,54,54,55,55,56,55,89,83,81,80,80,80,80,66,65,64,70,70,71,71,73,74,75,70,70,70,91,91,90,92,82,62,74,82,83,82,1
91,87,86,59,59,59,59,59,59,59,91,85,84,86,86,85,86,73,73,73,75,74,74,75,77,77,78,71,71,71,91,92,91,91,86,62,78,82,85,83,1
0,89,86,58,58,58,58,58,57,58,0,83,0,86,86,86,86,77,77,77,74,74,74,75,84,83,84,75,75,75,92,92,92,0,84,63,79,85,86,85,1
88,88,87,57,57,56,55,55,55,54,89,85,85,83,83,83,83,71,70,70,72,72,72,72,84,86,85,73,73,73,0,0,0,0,83,61,79,80,80,80,1
89,87,84,49,49,49,54,54,55,54,90,83,83,82,83,83,83,67,68,67,71,70,71,71,81,81,82,71,70,70,90,91,91,90,79,57,75,81,81,82,1
0,86,84,48,48,48,54,53,54,54,90,0,0,81,81,82,82,66,67,67,66,66,66,66,80,80,80,67,67,67,88,88,88,88,81,58,76,83,83,83,1
87,89,86,57,57,56,56,56,55,56,91,86,84,84,83,83,84,70,71,71,72,72,73,72,83,81,81,71,71,71,0,91,92,92,84,60,79,80,82,84,1
87,88,83,56,56,56,55,55,56,55,90,84,83,84,84,83,83,70,70,70,70,70,70,71,77,75,77,65,65,65,91,91,91,91,82,61,76,84,83,85,1
89,88,85,51,51,51,57,57,56,57,89,85,84,85,84,85,85,67,67,67,73,73,73,74,79,80,79,69,69,69,90,90,90,90,85,60,76,82,81,81,1
88,89,85,56,57,56,57,57,55,57,89,81,81,86,85,85,86,72,73,73,75,76,75,75,79,81,81,73,73,73,90,90,89,90,84,62,76,85,83,83,1
90,87,82,58,57,57,54,54,56,53,90,83,84,83,83,83,83,69,70,69,72,72,73,72,75,77,77,71,71,71,0,0,89,0,84,63,78,79,82,83,1
82,83,78,51,51,51,42,42,42,41,84,80,80,76,78,78,78,63,63,64,65,65,65,65,73,73,74,61,62,61,83,83,83,83,73,56,75,74,75,75,2
82,83,80,49,49,49,43,43,43,43,87,80,81,74,76,76,76,63,63,64,65,65,64,65,75,75,75,61,62,61,84,83,83,83,74,60,71,71,72,71,2
84,85,77,49,49,49,42,42,42,42,87,80,80,79,79,79,79,66,67,67,65,64,64,64,79,78,79,64,63,64,83,83,83,84,75,60,70,79,79,80,2
85,83,79,48,48,48,45,45,45,45,86,82,81,76,78,78,78,64,64,65,67,67,67,67,74,74,74,69,69,69,83,83,84,84,73,55,70,77,77,78,2
83,84,78,52,52,52,47,47,47,46,87,85,85,78,78,78,78,65,64,66,66,66,66,66,75,75,74,66,66,66,83,83,84,83,73,60,69,76,77,76,2
83,80,78,50,50,50,44,44,44,43,86,80,78,76,76,77,78,62,62,62,66,66,66,66,75,76,77,67,67,66,85,84,84,86,72,54,70,74,74,74,2
84,82,79,54,54,53,44,44,44,44,86,77,80,70,75,75,75,64,65,64,63,63,63,63,74,73,74,67,67,67,84,84,84,0,74,57,71,72,73,75,2
79,82,79,47,47,47,41,41,42,39,85,79,79,76,76,76,76,64,64,63,60,60,60,60,76,77,77,63,63,62,81,81,82,79,68,56,69,75,76,75,2
80,81,79,44,44,44,42,42,42,42,85,79,79,76,75,75,75,65,65,65,63,63,62,62,75,75,75,66,66,67,83,82,82,83,74,55,72,76,77,77,2
82,85,80,47,47,47,48,48,48,47,86,79,77,77,77,77,77,63,63,63,65,65,65,64,74,75,74,67,66,66,82,83,81,82,70,51,67,79,76,76,2
83,83,79,50,50,51,50,50,50,48,86,79,82,77,77,77,76,67,67,67,63,63,63,63,77,77,77,67,66,66,87,0,86,84,73,57,72,77,77,78,2
80,82,78,54,55,54,51,51,51,51,83,81,81,76,76,77,76,64,64,65,61,61,61,61,77,76,76,71,70,70,83,84,83,83,74,60,73,74,74,73,2
84,83,77,52,54,54,53,52,52,52,85,80,80,76,77,77,78,66,66,66,61,61,61,60,76,76,76,65,66,65,84,84,84,85,75,58,73,71,71,73,2
82,80,76,52,53,53,51,54,51,51,85,80,79,77,77,77,77,66,65,66,62,61,61,61,76,75,76,65,65,65,85,0,0,86,74,59,72,67,69,68,2
84,81,77,50,50,50,50,50,50,50,84,80,79,73,76,76,76,65,65,66,60,60,60,59,77,76,76,67,68,68,81,81,81,82,72,54,72,69,69,70,2
79,81,77,47,47,47,47,47,47,47,82,78,79,76,74,75,74,65,65,65,59,59,59,59,76,77,76,66,66,65,82,83,83,83,70,52,73,76,76,76,2
81,82,79,47,49,49,48,45,45,46,85,81,83,74,76,76,75,65,65,65,60,60,60,60,78,77,77,66,67,66,83,82,82,82,72,54,70,77,78,77,2
79,82,77,46,46,46,43,43,43,43,85,77,78,67,73,72,72,63,63,63,60,60,60,60,76,77,76,65,65,65,82,82,82,81,69,53,64,75,75,76,2
82,83,77,51,51,51,48,48,48,48,85,80,80,70,75,76,75,65,65,66,61,61,61,61,77,76,76,67,67,67,84,83,83,84,71,55,72,74,75,75,2
84,83,78,52,54,54,51,51,52,52,84,79,81,75,74,75,75,63,64,64,60,60,61,60,79,77,75,65,65,65,82,84,84,83,69,58,73,69,68,68,2
86,85,83,55,55,55,61,61,59,61,91,82,81,78,78,78,78,69,69,70,70,70,71,71,82,82,84,69,69,68,90,90,90,90,83,57,75,80,84,84,3
85,88,81,55,54,54,61,61,58,61,91,80,81,77,77,77,77,68,67,67,71,71,71,71,81,80,80,64,64,63,88,88,88,89,83,59,73,83,86,83,3
83,87,83,57,56,56,58,58,58,58,0,79,78,72,72,74,72,60,60,60,63,64,64,64,84,84,83,67,68,68,91,90,90,89,83,57,75,85,85,84,3
85,87,83,49,49,49,58,58,57,58,0,76,77,75,75,77,75,68,68,68,68,68,68,69,82,81,82,62,62,62,88,89,88,88,79,58,71,82,82,84,3
85,86,82,53,53,53,58,58,58,58,0,70,72,72,72,71,73,58,57,58,60,61,61,61,84,84,85,62,61,61,86,86,86,86,82,62,74,85,85,82,3
81,85,80,60,60,60,61,61,58,61,0,76,74,71,71,71,71,59,58,59,59,60,60,61,84,83,82,66,65,65,90,90,89,0,81,59,74,80,81,80,3
81,89,83,50,50,50,60,59,60,59,0,76,76,75,75,76,75,65,64,65,66,66,67,68,85,84,84,63,63,63,89,89,89,89,81,58,75,0,83,84,3
82,0,83,55,55,55,64,63,61,64,0,84,86,82,82,82,82,69,68,68,72,72,71,72,83,83,84,66,65,65,88,88,87,88,81,62,67,88,88,86,3
85,0,85,48,49,49,60,60,58,60,0,82,83,79,79,79,79,74,72,72,71,71,71,71,83,80,81,64,64,64,89,88,89,89,82,62,73,0,86,86,3
85,88,87,53,53,53,56,56,59,57,0,68,69,68,68,70,68,66,65,66,60,60,61,60,85,85,85,64,66,65,87,86,86,86,82,58,71,86,85,87,3
79,80,76,42,42,42,39,38,39,39,80,72,72,66,67,67,67,60,59,60,54,54,54,53,77,76,76,59,57,57,76,76,76,75,66,53,68,79,77,78,3
79,80,77,43,44,44,40,41,41,41,80,77,77,70,72,72,72,59,59,59,57,57,57,56,76,76,75,57,57,57,75,75,75,75,67,53,68,79,77,78,3
77,83,77,45,46,46,43,43,43,43,86,68,69,64,63,63,63,54,54,54,49,49,49,49,77,76,76,58,58,59,76,76,76,76,67,53,66,81,81,84,3
76,82,78,45,46,46,41,41,41,41,83,69,68,56,57,57,57,59,59,58,52,52,52,52,79,78,78,58,57,58,76,76,76,75,67,54,64,82,81,81,3
79,80,78,47,49,50,44,44,44,45,86,67,67,56,56,56,56,58,56,56,43,43,43,43,74,74,75,58,59,59,74,75,75,75,70,55,67,82,80,80,3
75,80,77,46,46,47,44,46,44,44,87,64,63,55,55,55,55,53,55,54,47,47,47,47,80,78,78,56,55,55,75,75,75,74,71,55,65,77,76,78,3
71,82,77,48,48,48,44,44,44,44,87,67,66,63,65,65,65,52,51,52,50,50,50,50,76,77,77,58,59,58,76,77,77,76,68,54,68,77,76,76,3
77,82,77,45,46,46,44,44,44,44,84,67,67,66,66,65,66,54,54,54,55,55,55,54,77,77,76,61,60,60,78,78,78,79,65,54,68,78,76,75,3
70,79,77,50,51,50,44,44,44,44,87,68,69,64,64,64,64,57,57,57,56,56,56,56,77,77,78,60,60,60,77,77,77,80,64,54,62,78,78,77,3
72,79,77,48,49,49,46,46,46,46,85,70,67,63,63,63,63,60,60,60,57,57,57,57,76,77,76,61,61,61,79,79,79,79,65,54,62,82,80,77,3
74,79,76,52,53,53,51,51,51,51,85,68,69,61,62,62,62,62,59,59,54,54,54,54,79,79,79,56,55,56,77,77,77,76,64,50,62,76,75,75,4
75,75,74,52,52,52,49,49,49,49,82,69,67,62,63,63,63,58,58,58,54,54,54,53,78,80,79,56,55,55,76,75,75,76,65,54,64,74,72,76,4
71,77,75,46,47,47,41,41,41,41,83,69,68,67,65,65,65,59,59,59,55,55,55,55,77,78,76,60,60,60,78,78,78,77,66,52,63,75,74,76,4
79,81,80,45,45,45,44,50,44,44,84,75,71,58,63,63,63,59,60,59,54,54,54,54,79,79,78,60,61,62,81,81,81,81,68,53,70,78,77,77,4
73,82,78,44,46,46,45,45,44,44,85,70,70,63,68,68,68,62,61,61,55,55,55,55,77,77,77,62,61,61,80,80,80,81,68,58,66,75,75,73,4
75,82,77,49,48,48,49,49,49,49,84,77,77,69,69,69,69,64,64,63,59,59,59,58,78,76,77,61,62,61,79,79,79,79,66,56,64,77,75,76,4
80,81,78,46,46,47,45,45,45,45,87,77,75,67,71,71,71,64,59,60,58,58,58,57,78,76,77,63,63,62,78,78,78,78,65,51,67,73,76,75,4
79,82,79,40,42,42,40,49,40,41,87,76,72,65,72,72,72,59,59,59,56,56,56,55,75,75,76,61,61,61,79,79,79,80,68,51,68,76,76,77,4
77,81,75,43,43,43,42,42,42,42,84,70,71,69,69,69,69,58,57,58,56,56,56,56,76,75,76,60,60,60,78,78,78,77,67,51,65,75,74,73,4
76,82,77,42,42,43,42,42,42,42,86,75,74,72,73,73,73,62,62,62,58,58,57,57,77,76,76,62,62,62,79,79,79,79,68,51,67,72,73,75,4
80,81,80,52,52,52,51,51,51,51,84,75,74,70,73,73,75,62,62,61,60,59,60,60,76,76,75,68,67,68,82,82,82,82,72,56,70,73,72,72,4
80,82,78,53,54,54,51,53,51,51,84,74,74,75,75,75,75,62,63,62,62,61,61,61,76,77,77,64,64,64,81,82,81,80,71,56,74,70,70,70,4
83,82,79,54,54,54,52,52,52,52,86,72,71,70,70,69,70,63,63,62,59,59,59,59,76,76,76,65,65,66,82,82,82,82,69,56,69,73,72,73,4
80,81,77,52,52,52,50,50,50,50,87,71,71,71,72,72,71,62,62,62,60,60,59,60,78,78,77,61,61,61,83,82,83,81,67,54,64,72,74,72,4
78,83,73,51,53,53,52,52,52,52,83,73,75,70,69,69,70,61,60,61,61,61,61,61,76,76,75,62,62,62,81,82,81,79,68,56,63,73,74,74,4
76,83,77,53,53,54,51,53,51,51,82,76,69,68,68,68,68,64,63,63,59,59,59,59,77,77,77,59,59,62,79,79,80,78,68,55,65,72,71,71,4
81,83,79,54,56,56,51,56,51,51,85,76,73,64,66,66,65,64,64,64,57,57,58,57,76,78,80,59,61,61,80,80,80,79,70,57,67,71,72,73,4
77,84,82,57,57,57,57,57,57,57,89,69,68,67,67,67,67,62,62,62,59,59,59,59,80,80,82,64,63,64,83,83,83,77,68,56,70,78,80,82,4
78,84,79,56,57,57,51,51,51,51,88,68,69,64,64,64,64,61,61,61,54,54,54,54,81,81,81,65,65,65,82,82,81,82,70,55,67,76,77,76,4
